scrip,exchange,quantity,cost,time
SBIN,BSE,100,567.4,2023-06-20
SBIN,BSE,200,567.4,2023-06-20
TCS,BSE,50,3227.2,2023-06-20
IRCTC,BSE,100,664.2,2023-06-20
IRCTC,BSE,100,664.2,2023-06-20
TCS,BSE,200,3257.45,2023-06-21
